job_id,office,position_title,date,year,listing_type,umap_x,umap_y,cluster
MEM-152-14,Congressman Raul Labrador (ID-01),Intern,2014-03-10,2014,internship,6.308704,0.38022318,-1
MEM-151-14,,Press Intern,2014-03-10,2014,internship,13.69827,17.67103,-1
MEM-150-14,,Legislative Fellow,2014-03-10,2014,internship,8.110782,10.156301,-1
MEM-147-14,,Full-Time Intern or Fellow,2014-03-03,2014,internship,5.1278825,1.0661751,-1
MEM-146-14,Congresswoman Renee Ellmers (NC-02),Intern,2014-03-03,2014,internship,5.352664,0.06395208,-1
MEM-145-14,Congressman Benishek (MI-01),Intern,2014-03-03,2014,internship,-0.3474838,2.0790217,7
MEM-144-14,,Congressional Intern,2014-03-03,2014,internship,13.18781,11.24721,11
MEM-164-14,,Intern,2014-03-17,2014,internship,6.8297124,-3.5375986,37
MEM-163-14,Congresswoman Carolyn McCarthy (NY-04),Summer Intern,2014-03-17,2014,internship,7.748785,2.0075574,-1
MEM-162-14,Congressman McClintock (CA-04),Summer Intern,2014-03-17,2014,internship,10.181764,0.94730514,-1
MEM-161-14,Congressman Alcee L. Hastings (FL-20),Intern,2014-03-17,2014,internship,-0.3256059,2.0820327,7
MEM-160-14,Congressman Jeff Denham (CA-10),Press Intern,2014-03-17,2014,internship,13.39207,19.415665,-1
MEM-159-14,Congressman Blaine Luetkemeyer (MO-03),Summer Intern,2014-03-17,2014,internship,10.13797,0.9798473,-1
MEM-158-14,Congressman Jerry McNerney (CA-09),Intern,2014-03-17,2014,internship,10.950456,2.1370661,29
MEM-157-14,,Unpaid Legislative Interns and Fellows,2014-03-17,2014,internship,8.484748,9.749265,9
MEM-168-14,Congressman John Shimkus (IL-15),Congressional Intern,2014-03-24,2014,internship,10.463551,1.1432815,-1
MEM-167-14,"Congressman John Conyers, Jr. (MI-13)",Summer Intern,2014-03-24,2014,internship,7.086422,2.9471266,-1
MEM-166-14,,Intern,2014-03-24,2014,internship,-3.7837405,-0.46950337,30
MEM-165-14,Congressman Jerry McNerney (CA-09),Intern,2014-03-24,2014,internship,10.935356,2.1316905,29
MEM-171-14,Congressman Reid Ribble (WI-08),Summer Intern,2014-03-31,2014,internship,6.733125,5.0091577,27
MEM-170-14,,Graduate and Legal Interns and Fellows,2014-03-31,2014,internship,8.623313,9.774882,9
MEM-169-14,,Intern,2014-03-31,2014,internship,7.338257,2.4323976,-1
MEM-175-14,Congresswoman Maxine Waters (CA-43),Press and Social Media Intern,2014-04-07,2014,internship,14.361376,19.495478,-1
MEM-174-14,Congresswoman Marcy Kaptur (OH-09),Intern,2014-04-07,2014,internship,5.1102114,2.0507917,-1
MEM-173-14,Congresswoman Zoe Lofgren (CA-19),Spring Semester Intern,2014-04-07,2014,internship,5.950903,2.696322,-1
MEM-180-14,Congressman Jerry McNerney (CA-09),Intern,2014-04-28,2014,internship,10.944276,2.131341,29
MEM-179-14,Congresswoman Louise M. Slaughter (NY-25),Press Intern,2014-04-28,2014,internship,13.975623,19.918194,19
MEM-178-14,,Press and Social Media Intern,2014-04-28,2014,internship,14.28724,19.453321,-1
MEM-177-14,Congressman Steven Horsford (NV-04),Intern,2014-04-28,2014,internship,9.064356,-1.6108706,24
MEM-185-14,Congressman Derek Kilmer (WA-06),Full-Time Intern,2014-05-12,2014,internship,0.1957255,18.091276,-1
MEM-184-14,,Legislative Intern,2014-05-05,2014,internship,-3.7513661,-0.49996674,30
MEM-200-14,Congressman Benishek (MI-01),Intern,2014-06-16,2014,internship,-0.3443563,2.0866632,7
MEM-199-14,Congresswoman Maxine Waters (CA-43),Press and Social Media Intern,2014-06-16,2014,internship,14.381841,19.48613,-1
MEM-198-14,Congressman Walter B. Jones (NC-03),Fall 2014 Intern,2014-06-16,2014,internship,5.266494,2.4350173,-1
MEM-197-14,Congressman Jim Bridenstine (OK-01),Full-Time Paid Intern,2014-06-09,2014,internship,6.3014283,2.744077,-1
MEM-195-14,Congressman Jared Huffman (CA-02),Intern,2014-06-09,2014,internship,8.997133,-1.480986,-1
MEM-193-14,,Fall Press Internship,2014-06-02,2014,internship,0.47912094,-0.4283341,-1
MEM-192-14,,Fall Legislative Internship,2014-06-02,2014,internship,1.7705997,7.6389494,11
MEM-191-14,Congressman Reid Ribble (WI-08),Intern,2014-06-02,2014,internship,6.715489,5.030181,27
MEM-188-14,Congressman Brad Sherman (CA-30),Summer Intern,2014-06-02,2014,internship,9.263451,6.6515846,-1
MEM-206-14,Congressman John Garamendi (CA-03),Fall 2014 Intern,2014-06-23,2014,internship,6.934567,-3.6577504,37
MEM-205-14,,Press Intern,2014-06-23,2014,internship,13.637115,17.962234,-1
MEM-204-14,Congressman Steven Horsford (NV-04),Intern,2014-06-23,2014,internship,9.072143,-1.6290611,24
MEM-203-14,,Intern,2014-06-23,2014,internship,4.314145,2.0861661,-1
MEM-202-14,Congressman C.A. Dutch Ruppersberger (MD-02),Fall Intern,2014-06-23,2014,internship,4.2968616,2.0340552,-1
MEM-201-14,Congressman Patrick Meehan (PA-07),Fall 2014 Intern,2014-06-23,2014,internship,4.7844176,4.0472794,-1
MEM-210-14,Representative Bill Johnson (OH-06),Fall Intern,2014-06-30,2014,internship,6.7442484,0.37684038,-1
MEM-209-14,Congresswoman Carolyn McCarthy (NY-04),Fall 2014 Intern,2014-06-30,2014,internship,7.7609825,2.002002,-1
MEM-208-14,,Intern,2014-06-30,2014,internship,9.74299,7.7225494,5
MEM-241-14,,Press Intern,2014-07-14,2014,internship,13.743643,17.57923,-1
MEM-240-14,Congressman Ami Bera (CA-07),Intern,2014-07-14,2014,internship,6.7111526,5.0408354,27
MEM-239-14,Congressman Petri (WI-06),Intern,2014-07-14,2014,internship,10.936064,2.1429741,-1
MEM-238-14,,Intern,2014-07-14,2014,internship,7.336394,1.6928126,-1
MEM-237-14,Congresswoman Eleanor Holmes Norton (D-DC),Fall 2014 Intern,2014-07-14,2014,internship,10.994022,2.1292088,29
MEM-236-14,Congressman Blaine Luetkemeyer (MO-03),Fall Intern,2014-07-14,2014,internship,7.502844,1.1436731,-1
MEM-235-14,Congresswoman Eleanor Holmes Norton (DC),Press and Social Media Intern,2014-07-14,2014,internship,14.362063,19.487835,-1
MEM-234-14,Congressman Lee Terry (NE-02),Intern,2014-07-14,2014,internship,8.423067,2.030491,-1
MEM-232-14,Congressman Ted Poe (TX-2),Fall 2014 Intern,2014-07-14,2014,internship,6.0092525,-0.19057491,-1
MEM-231-14,Congressman Michael McCaul (TX-10),Summer Intern,2014-07-14,2014,internship,6.568019,4.7283206,-1
MEM-229-14,,Intern,2014-07-14,2014,internship,8.160656,1.0797807,35
MEM-228-14,Congresswoman Katherine Clark (MA-05),Fall 2014 Intern,2014-07-14,2014,internship,8.992864,3.8620496,-1
